Title,Genre,Tags,Languages,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,Summary,Series or Movie,IMDb Votes,Image
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Swedish, Spanish",Thailand,< 30 minutes,Tomas Alfredson,John Ajvide Lindqvist,"Lina Leandersson, Kåre Hedebrant, Per Ragnar, Henrik Dahl",R,7.9,74,57,"$21,22,065",12-Dec-08,04-03-2021,"Canal+, Sandrew Metronome",https://www.netflix.com/watch/81415947,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",Series,205926,https://occ-0-4708-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmgLCxN8dNahdY2kgd1hhcL2a6XrE92x24Bx5h6JFUvH5zMrv6lFWl_aWMt33b6DHvkgsUeDx_8Q1rmopwT3fuF8Rq3S1hrkvFf3uzVv2sb3zrtU-LM1Zy1FfrAKD3nKNyA_RQWrmw.jpg?r=cd0
HOW TO BUILD A GIRL,Comedy,"Dramas,Comedies,Films Based on Books,British",English,Canada,1-2 hour,Coky Giedroyc,Caitlin Moran,"Cleo, Paddy Considine, Beanie Feldstein, Dónal Finn",R,5.8,1,,"$70,632",08-May-20,04-03-2021,"Film 4, Monumental Pictures, Lionsgate",https://www.netflix.com/watch/81041267,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.",Movie,2838,https://occ-0-1081-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe_fxMSBM1E-sSoszr12SmkI-498sqBWrEyhkchdn4UklQVjdoPS_Hj-NhvgbePvwlDSzMTcrIE0kgiy-zTEU_EaGg.jpg?r=35a
The Con-Heartist,"Comedy, Romance","Romantic Comedies,Comedies,Romantic Films,Thai Comedies,Thai Films",Thai,Thailand,> 2 hrs,Mez Tharatorn,"Pattaranad Bhiboonsawade, Mez Tharatorn, Thodsapon Thiptinnakorn","Kathaleeya McIntosh, Nadech Kugimiya, Pimchanok Leuwisetpaiboon, Thiti Mahayotaruk",,7.4,,,,03-Dec-20,03-03-2021,,https://www.netflix.com/watch/81306155,"After her ex-boyfriend cons her out of a large sum of money, a former bank employee tricks a scam artist into helping her swindle him in retaliation.",Movie,131,https://occ-0-2188-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSj6td_whxb4en62Ax5EKSKMl2lTzEK5CcBhwBdjRgF6SOJb4RtVoLhPAUWEskuOxPiaafxU1qauZDTJguwNQ9GstA.jpg?r=e76
Gleboka woda,Drama,"TV Dramas,Polish TV Shows,Social Issue TV Dramas",Polish,Poland,< 30 minutes,,,"Katarzyna Maciag, Piotr Nowak, Marcin Dorocinski, Julia Kijowska",,7.5,2,4,,14-Jun-11,03-03-2021,,https://www.netflix.com/watch/81307527,A group of social welfare workers led by their new director tries to provide necessary aid to people struggling with various problems.,Series,47,https://occ-0-2508-2706.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSxWH_aWvJrqXWANpOp86kFpU3kdpqx9RsdYZZGHfpIalSig2QHKaZXm8vhKWr89-OLh5XqzIHj_5UzwNriADy19NQ.jpg?r=561
Only a Mother,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Swedish Movies",Swedish,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Switzerland,United Kingdom,Iceland,Czech Republic",1-2 hour,Alf Sjöberg,Ivar Lo-Johansson,"Hugo Björne, Eva Dahlbeck, Ulf Palme, Ragnar Falck",,6.7,2,1,,31-Oct-49,03-03-2021,,https://www.netflix.com/watch/81382068,An unhappily married farm worker struggling to care for her children reflects on her lost youth and the scandalous moment that cost her true love.,Movie,88,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdpOFktQ4Z3klQEU2XQc9NWompf70CHEGLPIeBdCGGLDhvy1Mqly5552DUYR5-5M77STCj8rPvCbXltOcTj53olEzA.jpg?r=c84
Snowroller,Comedy,"Sports Movies,Sports Comedies,Comedies,Swedish Movies","Swedish, English, German, Norwegian","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Lasse Åberg,"Lasse Åberg, Bo Jonsson","Lasse Åberg, Cecilia Walton, Eva Millberg, Jon Skolmen",,6.6,,,,04-Oct-85,03-03-2021,,https://www.netflix.com/watch/81382187,"Two friends take a ski trip to the Alps, where they enjoy the outdoors and try to charm two women also on vacation.",Movie,5926,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQoql2u62H3BqwAhwJWTF-F0QIaG7dmZiMx8WDff2YUSCX-Sgo072F5HPosZbBJTcYQBjNACBHurAbB40rPQxWBrzQ.jpg?r=667
The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller","Thriller Movies,Movies Based on Books,Supernatural Thrillers,Swedish Movies",English,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,David S. Goyer,"Mats Wahl, Mick Davis, Christine Roum","Marcia Gay Harden, Margarita Levieva, Chris Marquette, Justin Chatwin",PG-13,6.2,,1,"$2,05,78,909",27-Apr-07,03-03-2021,"Touchstone Pictures, Spyglass Entertainment",https://www.netflix.com/watch/81382078,"Critically injured after a brutal beating, a teenager and aspiring poet finds himself suspended between life and death and invisible to others.",Movie,34738,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT4CgikQDwLNg_HIlP0G50p7X0H52kcxOjHouEzeNBOfFPw09TWvHjEsYik1kGHzPrRlmEysonrVtPCBpLruAWAypw.jpg?r=3be
The Simple Minded Murderer,Drama,"Social Issue Dramas,Dramas,Movies Based on Books,Period Pieces,Classic Movies,Swedish Movies","Scanian, Swedish","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,Hans Alfredson,Hans Alfredson,"Maria Johansson, Hans Alfredson, Stellan Skarsgård, Per Myrberg",,7.6,7,2,,01-Sep-85,03-03-2021,"Svensk Filmindustri, Svenska Filminstitutet",https://www.netflix.com/watch/81382075,"A good-natured farmhand, perpetually terrorized by his cruel boss for his disability, finds love and acceptance when a poor family takes him in.",Movie,2870,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABSCbJSjrtL9_AKGjIFM4AsWtMnMCsEVPEx3tX4VugQFx6mTzI5UiuadI6r5pPgrLpk1Re74mXg6BBBn_ezxWIHT1sJ_CBnhLnahp8_wOWjf9rc4.jpg?r=17a
To Kill a Child,"Short, Drama","Dramas,Swedish Movies",Spanish,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",< 30 minutes,"José Esteban Alenda, César Esteban Alenda","Victoria Ruiz, José Esteban Alenda, César Esteban Alenda","Cristina Marcos, Manolo Solo, Roger Príncep, Roger Álvarez",,7.7,2,5,,07-Feb-11,03-03-2021,,https://www.netflix.com/watch/81382065,A car accident involving a young child takes a devastating toll in this 9-minute film based on the 1948 short story by writer Stig Dagerman.,Movie,78,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVw0K_2t1GJtJ0ySMSoglb6DXX9izzwMyKxEYqfkY_k8-rFSoXLnaIxq2YLWs_sUtbRAiCjeXTUuOdOOdaD-zmV7Jw.jpg?r=4b1
Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,Todd Phillips,"Bob Kane, Jerry Robinson, Bill Finger, Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",R,8.4,112,228,"$33,54,51,311",04-Oct-19,03-03-2021,"Bron Studios, Creative Wealth Media Finance, DC Comics",https://www.netflix.com/watch/81382215,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",Movie,951938,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeslXp6h2-qkqlqXUU569-RwKdu37HSTPQTjzxVn1KnoCC5BHf1MPTD_fsTI5XkMR2gns_TRHNpt74or_hV6OfPtHg.jpg?r=ce4
I,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Swedish Movies","English, Sanskrit","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",PG,6.5,26,69,"$47,45,44,677",19-May-99,03-03-2021,Lucasfilm Ltd.,https://www.netflix.com/watch/81382114,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,Movie,733336,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSRslzvcxZlMteszOYTpkvInxwXS5crWhEcHEvBD5Toybfj6KivkEIOJaAXvqDh3VCwvigHiF8dzdH3Y0Scgt3q5TA.jpg?r=619
Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",English,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Ralph Fiennes, Alan Rickman, Michael Gambon",PG-13,8.1,46,94,"$38,14,09,310",15-Jul-11,03-03-2021,"Heyday Films, Moving Picture Company, Warner Bros.",https://www.netflix.com/watch/81382102,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",Movie,766594,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGQymPz2RK3LajCem7mtwGhaN1dwRFEt2WgL6lUac9dEyOap0uL3k8zw4nlMhJfXJZ9usVahLUcE1BS5sHvzYt8-g.jpg?r=144
Gyllene Tider,Music,"Music & Musicals,Swedish Movies,Music & Concert Documentaries,Documentary Films,Concerts",Swedish,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",30-60 mins,Lasse Hallström,,"Anders Herrlin, Per Gessle, Micke Andersson, Göran Fritzson",,7.7,,,,,03-03-2021,,https://www.netflix.com/watch/81382106,This music documentary offers backstage interviews and concert footage of the Swedish pop group at the peak of their popularity in the early 80s.,Movie,19,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR0xiok4opMDOL2S7WN-hmVQI0_1l6nEW8_KtWRvXdff80yCZI9FV-Bc7vXhlICcrpxV_DobT83ANO7eNhnnXbW3Bw.jpg?r=599
Girls und Panzer das Finale,"Animation, Action, Comedy","Drama Anime,Action & Adventure,Action Anime,Anime Movies,Japanese Movies,School Anime,Military & War Anime",Japanese,Japan,< 30 minutes,Tsutomu Mizushima,Reiko Yoshida,"Ikumi Nakagami, Mai Fuchigami, Mami Ozaki, Ai Kayano",,7.3,,,,09-Dec-17,02-03-2021,,https://www.netflix.com/watch/81418299,"The girls on Oarai’s tankery team look forward to finishing out the school year in peace, but before they know it, theyre back on the battlefield.",Series,210,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaK9q-Rjx426FnWTjqNN21t4L7qa_6JwY6POQdGhTsEgapMMMyICvr9i_2iQyHqXqmWtMXqoHMqBqIdN3Mxq8brPEw.jpg?r=c4c
The Coroner,"Crime, Drama","Mystery Programmes,Drama Programmes,Crime TV Dramas,Canadian TV Programmes,TV Programmes Based on Books",English,Canada,< 30 minutes,,Sally Abbott,"Matt Bardock, Oliver Gomm, Claire Goose, Beatie Edney",TV-14,7,,,,16-Nov-15,02-03-2021,,https://www.netflix.com/watch/81006773,"Months after a personal tragedy, a doctor takes a job as a coroner and investigates a series of suspicious deaths in Toronto.",Series,1328,https://occ-0-293-999.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcL59DePgdbhwJrqKNtBYNKeh1Khng5vhHwe-pCI8ORkNsXoGW60etTDZJ8emwnyGdIYcynjuyCqgKjuHefnz1tvSA.jpg?r=085
Brave New World,"Drama, Sci-Fi","TV Dramas,US TV Shows,TV Shows Based on Books,Sci-Fi TV",English,"Poland,Czech Republic,Hungary,Slovakia,Romania,India",< 30 minutes,,"Brian Taylor, David Wiener, Grant Morrison","Harry Lloyd, Alden Ehrenreich, Nina Sosanya, Jessica Brown Findlay",TV-MA,7.1,,,,15-Jul-20,02-03-2021,,https://www.netflix.com/watch/80991826,"When a rebellious stranger arrives from another land, the residents of New London begin to question the rules of their seemingly utopian society.",Series,9408,https://occ-0-4815-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQWZKAFgMDretae7r8MOZPpWNNbrTQ9JMpyh2nitTypUrRj9YqOipgrghiDKSc0vjET-3ek7N2SCPpYiQOiSNgBtUuVYzMkHAFACgXaiRrK8VwRvgF4SJvfTgDI.jpg?r=4fd
Comrades: Almost a Love Story,"Drama, Romance","Romantic Dramas,Chinese Movies,Dramas,Romantic Movies,Hong Kong Movies,Romantic Favorites","Cantonese, Mandarin, English",South Korea,1-2 hour,Peter Ho-Sun Chan,Ivy Ho,"Maggie Cheung, Leon Lai, Kristy Yeung, Eric Tsang",,8.1,23,8,"$17,676",02-Nov-96,01-03-2021,,https://www.netflix.com/watch/60020365,Two young Chinese mainlanders transplanted to Hong Kong -- naive Xiao-Jun Li and street-smart Qiao Li -- become fast friends and then try not to fall in love despite their deepening feelings for each other.,Movie,5047,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSEIllKFaCWQgeDMBxLfPCVosg_2Qc5WIjNRdUO8Dg08515ToaiU8uy3CtqOJwCXGpyjv1p1bQRn_Q_uCBIxCDostA.jpg?r=bf4
The Closet,Comedy,"Korean Movies,Horror Movies,Mysteries",French,South Korea,1-2 hour,Francis Veber,Francis Veber,"Daniel Auteuil, Thierry Lhermitte, Michèle Laroque, Gérard Depardieu",R,7,1,1,"$66,78,894",10-Aug-01,01-03-2021,"Miramax, Gaumont",https://www.netflix.com/watch/81405032,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,Movie,16657,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVQSpoTkZ1zFLtdAsNOUvkFxbwJdOqu7TjHJpnSWYWSEhRWZCaeKv8b9icqqFr1vJFPCC6973kAxhK9pXRN659mkFA.jpg?r=fab
The Mysterians,"Action, Family, Sci-Fi, Thriller","Sci-Fi & Fantasy,Alien Sci-Fi,Japanese Movies,Classic Movies","Japanese, English",Japan,1-2 hour,Ishirô Honda,"Jôjirô Okami, Takeshi Kimura, Shigeru Kayama","Akihiko Hirata, Yumi Shirakawa, Momoko Kôchi, Kenji Sahara",TV-Y7,6.2,,,"$9,75,000",15-May-59,01-03-2021,,https://www.netflix.com/watch/70023084,Mankind is faced with an impossible choice when an alien race requests the use of a small plot of land and permission to procreate with Earth’s women.,Movie,1383,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZVzi2om7uy20h0QVDFxBDVsS4HHq55AWLqEPAduenfw3mcE5BoE8a7wbP48wTIp71l2jJ0l_62lY_di5GsGyIt5mA.jpg?r=b29
Repast,Drama,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies",Japanese,Japan,1-2 hour,Mikio Naruse,"Sumie Tanaka, Fumiko Hayashi, Yasunari Kawabata, Toshirô Ide","Yukiko Shimazaki, Setsuko Hara, Yôko Sugi, Ken Uehara",,7.7,9,,,23-Nov-51,01-03-2021,,https://www.netflix.com/watch/81402063,A woman struggles to keep her spirit alive through the drudgery of married existence after she moves from Tokyo to Osaka with her husband.,Movie,1355,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa8bcUtXvw0jVpkv1vSpYrSltpFEaJpbqpcq_CS72vBOl41lFhwKkGbXjx0mgmapY3pDntAO3unAu6Kz0TwdbM3qSw.jpg?r=cea
Sway,"Crime, Drama","Courtroom Dramas,Dramas,Mysteries,Japanese Movies",Japanese,Japan,1-2 hour,Miwa Nishikawa,Miwa Nishikawa,"Hirofumi Arai, Teruyuki Kagawa, Joe Odagiri, Masatô Ibu",,7.2,10,4,,08-Jul-06,01-03-2021,,https://www.netflix.com/watch/70064321,"When a Tokyo photographer returns home for his mother’s memorial service, old grudges ignite into tragedy. His brother is arrested, but who is to blame?",Movie,963,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVWGzyIyHTMoky6nCFDWN9X0SkV0aKNcf5IQYqSOLVWtvZnPfCKoNrNrs0XM1zIXGCZxc-FgtGJyV0w9CqO_4bltNA.jpg?r=a7e
When a Woman Ascends the Stairs,Drama,"Social Issue Dramas,Dramas,Japanese Movies,Classic Movies",Japanese,Japan,1-2 hour,Mikio Naruse,Ryûzô Kikushima,"Masayuki Mori, Hideko Takamine, Tatsuya Nakadai, Reiko Dan",NotRated,8.1,,,,25-Jun-63,01-03-2021,,https://www.netflix.com/watch/70063286,"Faced with few options, a widowed bar hostess entertaining businessmen in the cutthroat Ginza district tries desperately to better her circumstances.",Movie,3771,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRMZajRbznx7HG_ZQXme1GTGDcQ9sBKTSghBFjSrcfCTMdoxSWiWN6gqokRSQFv5k-LrKRRkVRfFjbIJJqd8k4CpUQ.jpg?r=af1
Yearning,Drama,"Romantic Dramas,Dramas,Romantic Movies,Japanese Movies,Classic Movies",Japanese,Japan,1-2 hour,Mikio Naruse,"Mikio Naruse, Zenzô Matsuyama","Yûzô Kayama, Mitsuko Kusabue, Yumi Shirakawa, Hideko Takamine",,8.1,1,,,23-Oct-64,01-03-2021,,https://www.netflix.com/watch/81402109,"A widow is tormented by the mean-spirited scheming of her late husband’s family, and by her rakish young brother-in-law’s sudden declaration of love.",Movie,1359,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSlHXSqzaPUDv_kLXgmmXhBu5RsRNvp6zCkTrwIzLKoU0Ur0lINmZOvb7oLpplW8CUkltEyjqFu-HcTlY1EixrL6vA.jpg?r=e74
Ginza Cosmetics,Drama,"Dramas,Movies Based on Books,Japanese Movies,Classic Movies","Japanese, English",Japan,1-2 hour,Mikio Naruse,"Matsuo Kishi, Tomoichirô Inoue","Kinuyo Tanaka, Yûji Hori, Ranko Hanai, Kyôko Kagawa",,6.9,,,,14-Apr-51,01-03-2021,,https://www.netflix.com/watch/81402115,A bar hostess in Ginza struggles to make ends meet while parenting her son as she grapples with loyalty to her friends and customers expectations.,Movie,279,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRZjZyx_V4acLZ65kKZsgD-m5xnbVDipXMO2GdS-CzFr2LiHvwOn-WgU2Yb4KKTGjiXnoO49sBttCZhszhJI0818ug.jpg?r=297
Floating Clouds,"Drama, Romance","Romantic Dramas,Social Issue Dramas,Dramas,Romantic Movies,Movies Based on Books,Japanese Movies,Classic Movies",Japanese,Japan,> 2 hrs,Mikio Naruse,"Fumiko Hayashi, Yôko Mizuki","Mariko Okada, Masayuki Mori, Hideko Takamine, Isao Yamagata",,7.7,9,,,06-Jun-80,01-03-2021,,https://www.netflix.com/watch/81402076,"Returning to Japan after the war, a woman rekindles her affair with a man she met in French Indochina, but she remains unmoored in postwar society.",Movie,2395,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSlWcB7SMuLfDSiJnQWt5-yyGPMkNZpq3JyUIv_0sNC2Hq4JLU_tdgslRFck_zzwfeUN6Ot5cxmTIbdSbtqpRZ9CWg.jpg?r=e06
Restart After Come Back Home,"Drama, Romance","Romantic Dramas,Dramas,LGBTQ Movies,Romantic Movies,Japanese Movies",Japanese,Japan,1-2 hour,Ryûta Inoue,Kumiko Satô,"Masahiro Kômoto, Yûki Furukawa, Yukijirô Hotaru, Eri Murakawa",,7.2,,,,04-Sep-20,01-03-2021,,https://www.netflix.com/watch/81383131,"Mitsuomi moves back home after ten exhausting years in the city, where his growing affection for a guy in the neighborhood helps heal his weary soul.",Movie,80,https://occ-0-993-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZA7nHHA2FOCUHxg7PE_R5AjCaSia5Vs_06tqMenRLQXB6wecNrh-tBO1a71W45hqBoGKsDOz1ncJ8bEeTjpMKSZpQ.jpg?r=75a
Trial by Fire,"Biography, Drama","Films Based on Real Life,Social Issue Dramas,Dramas",English,United Kingdom,> 2 hrs,Edward Zwick,"Geoffrey Fletcher, David Grann","Emily Meade, Chris Coy, Laura Dern, Jack O'Connell",R,6.9,,,"$1,48,504",17-May-19,01-03-2021,Roadside Attractions,https://www.netflix.com/watch/81088152,A woman who develops a close relationship with a death row inmate sets out to prove the man was wrongfully convicted of killing his children in a fire.,Movie,3657,https://occ-0-4169-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZQ2e6Q_ZKFYoJWGB5tzFRhd6zmcE3dHIH34FJOQpS8xoYTV1vyhdo8FrLaMYINGl_HP0ZvmjmTsaq98-lM54K46sg.jpg?r=21d
5 Minute,Comedy,"Social Issue Dramas,Dramas,LGBTQ Movies,Independent Movies",English,Romania,1-2 hour,,,Jeff Lewis,,8.6,,3,,12-Oct-10,01-03-2021,,https://www.netflix.com/watch/81351808,"When a violent homophobic attack breaks out during a film screening, a bold journalist pursues justice for the LGBTQ community. Based on true events.",Movie,41,https://occ-0-3031-3467.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABW4xj0sbH8ZOtV2hBDPziErA50uM-8tcLYJ0EZSqx3wrmhD9NRDKetfA-9ga9fc3lpCaUGcrOrCKhsyv0oXdnUz-YA.jpg?r=2d4
Dilili in Paris,"Animation, Adventure, Family, Mystery","Children & Family Movies,Family Adventures,Animated Movies",French,"Germany,Switzerland",1-2 hour,Michel Ocelot,Michel Ocelot,"Enzo Ratsito, Bruno Paviot, Natalie Dessay, Prunelle Charles-Ambron",PG,7,1,2,,04-Oct-19,01-03-2021,,https://www.netflix.com/watch/81176692,"After stowing away on a ship from New Caledonia, Dilili sets out to solve the mystery behind the kidnappings of young girls in Paris.",Movie,816,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdKKrb2--RFLcGDAgxq5_7qP9q3IMXfQeJF8F76i-6gten_wYSVizCqS4rwe0GaS62dtIeqOdXVbQDG5cJDIZDtPtQ.jpg?r=846
Years and Years,"Drama, Sci-Fi","TV Dramas,Political TV Shows,British",English,Belgium,< 30 minutes,,Russell T. Davies,"Ruth Madeley, T'Nia Miller, Anne Reid, Rory Kinnear",TV-MA,8.3,1,14,,24-Jun-19,01-03-2021,,https://www.netflix.com/watch/80219056,"After a fateful night in 2019, the future of Britain and the lives of an ordinary family change dramatically over the course of the next 15 years.",Series,22324,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABfSCDtvcSr9nIbOL7GNyr6Itqxi9Pnyb3E-7GpzVvorytUKvRCRUaKyTTjfmYvHkF_1sXJJzOn9e7ml1jr1tMjJlJnK-XhSu1ayHe1_4Cgjz9UM.jpg?r=e93
The New Pope,Drama,"TV Dramas,Italian TV Shows","English, Italian","Belgium,Netherlands",< 30 minutes,,Paolo Sorrentino,"Silvio Orlando, Jude Law, John Malkovich, Cécile de France",TV-MA,8.2,4,,,13-Jan-20,01-03-2021,,https://www.netflix.com/watch/80242313,"With the young pope out of commission, a new leader steps in. But lies and hidden agendas are just the start of the Vaticans problems.",Series,12101,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/1lcgfy_NA26l7dfd356LqCUdNPM/AAAABXheiy-yLHz84ZK_nMAg65N2U69GmsKk60itQWF2mzL_qhtBe933HNHEMv1NYmRMaYqaHMi9mL-WoMhtainXGoRh3g-bwfjNi73OEA9z_5mKQUg.jpg?r=2ac
Life and Nothing But,"Drama, War","Dramas,Period Pieces,Award-winning Dramas,French",French,"France,Belgium",> 2 hrs,Bertrand Tavernier,"Bertrand Tavernier, Jean Cosmos","Maurice Barrier, Sabine Azéma, Philippe Noiret, Pascale Vignal",PG,7.4,9,14,,06-Sep-89,01-03-2021,"Little Bear [fr], Films A2, Hachette Première",https://www.netflix.com/watch/70012338,"Maj. Dellaplane is a military man in World War I who takes on the unenviable, emotionally painful task of sifting through the bodies of men killed in the Verdun countryside and helping their relatives identify them.",Movie,1568,https://occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT1l5_TNFS0HGAtw_wEzoR_Rv9zJ47h5iBt-Yml5-Ojp327BwwgTfAGPvbWm7WThv7o7oMmhz1FPKiO-Ef0_AQKASw.jpg?r=e43
Let Joy Reign Supreme,"Drama, History, War","Dramas,Period Pieces,French","French, Breton","France,Belgium",1-2 hour,Bertrand Tavernier,"Bertrand Tavernier, Jean Aurenche","Christine Pascal, Philippe Noiret, Jean-Pierre Marielle, Jean Rochefort",NotRated,7.1,5,3,,26-Mar-75,01-03-2021,,https://www.netflix.com/watch/70012337,"Under the eye of an ambitious priest, the libertine Philippe II revels in scandal as he rules 18th-century France in this satirical drama.",Movie,1305,https://occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcx9bb9zMmAkRWCQ0zmAGjzD94uPDZhcRQHFhD_b2FWJOn-BFmiaE0fTHRmuickKKg1KhFW5zbtPyGHHzoddz2yyJA.jpg?r=6ca
