Title,Genre,Tags,Languages,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,Summary,Series or Movie,IMDb Votes,Image
God Eater,"Animation, Action, Sci-Fi","Japanese TV Films,Anime Series,Anime Sci-Fi & Fantasy,Anime,Anime Action Films,Anime based on a Video Game,Futuristic Sci-Fi,Sci-Fi Anime",Japanese,"Germany,Argentina,Canada,Switzerland,United States,Brazil,Mexico,Colombia",< 30 minutes,,,"Tomohisa Asô, Kira Buckland, Robbie Daymond, Dorah Fine",TV-14,7,,,,12-Jul-15,15-12-2016,,https://www.netflix.com/watch/80145805,An enemy immune to conventional arms has caused the collapse of civilization and humanitys only hope lies in a new living weapon: the God Arc.,Series,1546,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdbMvaGjGJGgDyEDNRmcRSpOufwOx8rqlVVLLmprMWzHjJgkh2y4az5HkQ74HjbdyJTiydXfoqbr4CjxLf8aindv9Q.jpg?r=dc3
Daily Lives of High School Boys,"Animation, Comedy, Drama","Anime,Anime Comedies,School Anime,Slice of Life Anime,Anime Series,Japanese TV Films",Japanese,Japan,< 30 minutes,,,"Daisuke Namikawa, Tomokazu Sugita, Miyu Irino, Kenichi Suzumura",TV-14,7.8,,,,09-Jan-12,15-12-2016,,https://www.netflix.com/watch/80146301,"In these short episodes, three students at an all-boys high school enjoy hanging out and not doing anything particularly noteworthy or momentous.",Series,1720,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXOxPu10dNttlnUdyzPSqFxmiDeIjMu_zbBzfxqcbttRJ5CePqJVr22A8dT8W-EbX4-0tT7ukOXJW19NSKcEUp0rJw.jpg?r=981
Cowboy Bebop: The Movie,"Animation, Action, Crime, Drama, Sci-Fi, Thriller","Anime Action Films,Anime,Japanese Sci-Fi & Fantasy,Anime Dramas,Action & Adventure,Anime Sci-Fi & Fantasy,Crime Action & Adventure,Sci-Fi & Fantasy,Sci-Fi Dramas,Anime Feature Films,Japanese Action & Adventure,Action Sci-Fi & Fantasy","Japanese, English",Japan,1-2 hour,"Shin'ichirô Watanabe, Tensai Okamura, Yoshiyuki Takei, Hiroyuki Okiura","Hajime Yatate, Keiko Nobumoto","Unshô Ishizuka, Aoi Tada, Megumi Hayashibara, Kôichi Yamadera",R,7.9,,2,"$10,00,045",16-May-03,15-12-2016,,https://www.netflix.com/watch/60027581,"Set in the year 2071, this engaging animated tale follows an eclectic crew of space bounty hunters as they hunt down a biochemical terrorist on Mars.",Movie,43050,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSRkSrIKFM_ojVD7L88742QCswYyzrGkjpJgAg5rykrvj4ayKNw5dz7tUahMFu73_KVEWi2QrnGJteHt6BpBolrDoA.jpg?r=755
Tiger and Bunny,"Animation, Action, Comedy, Crime, Sci-Fi","Japanese TV Films,Anime Series,Anime Sci-Fi & Fantasy,Anime,Anime Action Films",Japanese,"Japan,Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Israel,Switzerland,United Kingdom,Australia,Malaysia,India,Hong Kong,South Korea,Russia,Iceland,Canada,Mexico,Argentina,Brazil,Colombia,United States",< 30 minutes,,,"Hiroaki Hirata, Michael McConnohie, Masakazu Morita, Yuri Lowenthal",TV-14,7.5,4,3,,02-Apr-11,15-12-2016,,https://www.netflix.com/watch/80039972,"In an alternate New York City protected by a band of superheroes called NEXT, veteran Wild Tiger is forced to team up with rookie Barnaby Brooks Jr.",Series,699,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSR_rjUFRHjwFmWwdCHulncRo3KBU0z_zLw4kNwHKpXfSmy2sim1-22G2UhEOW-MDLNN8vzy0sQpHp0euod41ahx-A.jpg?r=44a
Tanaka-kun Is Always Listless,"Animation, Comedy","Japanese TV Films,Anime Series,Anime,Anime Comedies,Slice of Life Anime,School Anime",Japanese,South Korea,< 30 minutes,,,"Kenshô Ono, Yoshimasa Hosoya, Greg Ayres, Shelley Calene-Black",TV-PG,7.6,,,,09-Apr-16,15-12-2016,,https://www.netflix.com/watch/80145961,"A lethargic student dozes through class, activities and pretty much everything, frustrating his best friend but attracting the affections of others.",Series,668,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTgOvR6lCnFuS7MlfRuGincHeeYAJrLPzvaDOgUM1CeOk6-e8R-hyzelOnX9KDRP5t52UqNKyTBE28EL9n2aI5EnKA.jpg?r=775
Mobile Suit Zeta Gundam,"Animation, Action, Drama, Romance, Sci-Fi","Japanese TV Films,Anime Series,Anime Sci-Fi & Fantasy,Cyborg & Robot Anime,Retro Anime,Anime,Anime Action Films",Japanese,Japan,< 30 minutes,,Yoshiyuki Tomino,"Hirotaka Suzuoki, Miyuki Matsuoka, Nobuo Tobita, Shûichi Ikeda",,8.2,,,,02-Mar-85,15-12-2016,,https://www.netflix.com/watch/80146402,Amateur Gundam pilot Kamille Bidan fights with the Anti-Earth Union Group against the tyrannical Earth Federation and its elite Titans task force.,Series,1035,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeaeenU8G-HRTaIJjBCseJUsyMwFMyBE50JQCytx2SK9az2zKDp5c3ATuzH5V_KEgvji8zKG4fRB4Q2QBwUczXoXnQ.jpg?r=aab
The Vision of Escaflowne,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance, Sci-Fi, Thriller, War","Japanese TV Films,Anime Series,Anime Sci-Fi & Fantasy,Romantic Anime,Anime,School Anime",English,Italy,< 30 minutes,,,"Kirby Morrow, Jocelyne Loewen, Kelly Sheridan, Brian Drummond",TV-Y7,7.8,,,,19-Aug-00,15-12-2016,,https://www.netflix.com/watch/80146069,"A high school runner is suddenly transported to the magical world of Gaea, where she must unite with the prince against the evil Zaibach empire.",Series,3889,https://occ-0-784-778.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABad1Aolm-5MlOe1Ozzie7kVuVq-8qRK7bJiOzq0GHiilN9qXC6eTQMRwv-KtNsGhdNbxqPcwxUFrCfQkPSLtFcad4w.jpg?r=0fe
Ranma 1/2,"Animation, Action, Comedy, Fantasy, Romance","Anime Series,Japanese TV Films,Romantic Anime,Anime,Anime Comedies,Retro Anime",Japanese,Japan,< 30 minutes,,Rumiko Takahashi,"Sarah Strange, Megumi Hayashibara, Kappei Yamaguchi, Noriko Hidaka",,7.9,,,,01-Apr-89,15-12-2016,,https://www.netflix.com/watch/80147117,"After a dip in a cursed spring, the heir to a martial arts dojo turns into a girl whenever he is splashed with cold water. His fiancée is not amused.",Series,4628,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUpBIUpBDr0fROvv9NVzVZC88oAHukG6XN22lzw0nVW-AWH8_uCGKNBs4NyHZ5yVUiIh4m0RFtNi_uuK9tP9TfVe7w.jpg?r=1d6
Sadqay Tumhare,Romance,"TV Programmes,TV Dramas,Romantic TV Dramas",Urdu,"United Kingdom,Australia,India,Lithuania,United States,Canada,Romania,Russia,Singapore,South Africa,Thailand,Hungary,Czech Republic,Greece,Slovakia,Malaysia,Iceland,Israel",< 30 minutes,,,Mahira Khan,,7.4,2,3,,10-Oct-14,15-12-2016,,https://www.netflix.com/watch/80087348,"An arranged engagement between a village girl and her city cousin shows signs of true love, but an indiscretion decades ago could doom their romance.",Series,513,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRC_nkGwmPHTmFOMJbmywhfjR5jTX32-XefsyqaWpPTMRa822bdZVyRF6_URxi1DNnfK-rQw5NZj6Gk6bxMRhTMykQ.jpg?r=53b
Modus,"Crime, Drama, Thriller","TV Programmes,TV Dramas,TV Thrillers,Crime TV Dramas,Swedish TV Shows,Scandinavian TV Shows","Swedish, English","Belgium,Netherlands,Iceland,Sweden",< 30 minutes,,,"Esmeralda Struwe, Melinda Kinnaman, Simon J. Berger, Henrik Norlén",,6.8,,2,,23-Sep-15,14-12-2016,,https://www.netflix.com/watch/80144695,"In snowy Sweden, a talented ex-FBI profiler works with the police and her own autistic daughter to unravel the strange motives of a vicious killer.",Series,3864,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX0K2k5HGXuwxHgPdwUeGNaSnlgK3JlsVIOINr_gwrS1lrwx7MQfaQdjBh3o6b3h6wRZLq7o7wuoapgD3ZSifCmzgw.jpg?r=22e
Ice Fantasy,"Adventure, Fantasy, War","Asian TV Shows,TV Action & Adventure,TV Sci-Fi & Fantasy,TV Programmes,Chinese TV Shows,Fantasy TV Shows,TV Shows Based on Books",Mandarin,"Argentina,United Kingdom,Australia,Switzerland,Sweden,Belgium,France,Spain,Germany,India,Iceland,Portugal,Lithuania,Russia,Slovakia,Czech Republic,Hungary,South Africa,Romania,Poland,Hong Kong,United States,Canada,Mexico,Japan,Turkey,Greece,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,,"Tianyu Ma, Shaofeng Feng, Meng Zhang, Victoria Song",TV-14,7.1,3,2,,24-Jul-16,14-12-2016,,https://www.netflix.com/watch/80128756,"The Ice Tribe prince journeys to a sacred mountain to vanquish evil but soon finds himself at war with the Fire Tribe, led by his long-lost brother.",Series,518,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYXqCb2VDLO8Iz-yYxTw8A9jovpv9N--hDj3EfDHUHKE5nmvClcamub4hISRyRdfJkIJTGl2Z99SYfph_PKeXQmR1Q.jpg?r=3e2
Take Off,"Drama, Sport","Comedies,Korean Films,Sports Dramas,Sports Comedies,Korean Dramas,Korean Comedies,Dramas,Sports Films",Korean,"Thailand,Singapore,Malaysia",> 2 hrs,Yong-hwa Kim,Yong-hwa Kim,"Jung-woo Ha, Dong-il Sung, Ji-seok Kim, Dong-wook Kim",,6.9,14,8,,29-Jul-09,14-12-2016,,https://www.netflix.com/watch/80125774,"Inspired by a true story, this heartwarming dramedy follows Koreas first-ever ski jumping team as they go for the gold in international competitions.",Movie,790,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV176jvtBlFDVMcMp9GdDwsviA8Kv_45R2OJIWgjmdGJw8tUK5fVwFLltaIz7AzQcF4bvRKKzyNI91Ehyuw9FjLJiA.jpg?r=988
Heavens Garden,Drama,"TV Programmes,Korean TV Programmes,TV Dramas",Korean,"South Korea,Hong Kong,Argentina,United Kingdom,Australia,Switzerland,Belgium,France,Spain,Iceland,India,Lithuania,Russia,Czech Republic,South Africa,Romania,Singapore,United States,Canada,Mexico,Japan,Thailand,Hungary,Greece,Slovakia,Turkey,Brazil,Israel,Colombia",< 30 minutes,,,Chani,,8.7,,,,,14-12-2016,,https://www.netflix.com/watch/80126153,"When her husband goes to jail for bankruptcy, a woman takes her two daughters to live with her father, who severed ties with her years ago.",Series,53,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdTLIAewORrQWw_cEKfymNip8vG83h6UYgg6PAohp_03MYXJW9UjDFdSxPjfqPgMoCZ88KcemQvE-YhGVZZWF4GUnQ.jpg?r=fcf
My Girlfriend is an Agent,"Action, Comedy, Romance","Gangster Films,Korean Action & Adventure,Korean Comedies,Romantic Korean Movies,Action & Adventure,Romantic Films,Korean Films,Action Comedies,Crime Action & Adventure,Romantic Comedies,Comedies,Wacky Comedies",Korean,"Singapore,Malaysia",1-2 hour,Terra Shin,Seong-il Cheon,"Seung-ryong Ryu, Ha-neul Kim, Jang Young-Nam, Ji-Hwan Kang",NotRated,6.3,1,2,,23-Apr-09,14-12-2016,"Harimao Pictures, Soojak Films, DCG Plus",https://www.netflix.com/watch/70185039,"This action-packed comedy follows the adventures of top Korean spy Soo-Ji Ahn, whose heart is broken when her nerdy fiancé abandons her.",Movie,2218,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXFI_DYiH9aefTlv1VxZQTvdolq-ZTMshYljeKd0a1bc5SioYcBlUoovQegTHS5ygGb_Sviruxc2c-7loQG3cde4ew.jpg?r=03f
Room,"Drama, Thriller","Award-winning Movies,Golden Globe Award-winning Films,Dramas based on a book,Dramas,Independent Movies,Movies Based on Books,Canadian Movies,Canadian Dramas,Canadian Independent Films,Critically-acclaimed Canadian Films",English,"Hungary,Hong Kong,India,Canada,United Kingdom,Spain,Switzerland,Germany,Mexico,Argentina,Brazil,Colombia",1-2 hour,Lenny Abrahamson,Emma Donoghue,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",R,8.1,105,140,"$1,46,77,654",22-Jan-16,14-12-2016,"Element Pictures, No Trace Camping",https://www.netflix.com/watch/80073823,"Kidnapped, confined to a tiny room and raped, a young woman gives birth to a son. When he reaches his fifth birthday, she begins plotting an escape.",Movie,374020,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQVhV-cLX7MiVxk9cnAk1EmRDlHe1JrJ4Q-kw-h15qPIuTIZdC7o882zfLqnaCx7c1QhcS1cTKnuHngf1kJ21YsAZA.jpg?r=201
Cybernatural,"Horror, Mystery, Thriller","Horror Films,Thrillers,Slasher and Serial Killer Films,Supernatural Horror Films,Teen Screams",English,"United Kingdom,United States",1-2 hour,Levan Gabriadze,Nelson Greaves,"Shelley Hennig, Courtney Halverson, Matthew Bohrer, Heather Sossaman",R,5.5,3,6,"$3,24,82,090",17-Apr-15,14-12-2016,Bazelevs Production,https://www.netflix.com/watch/80014725,Six teens whose cyberbullying drove their classmate to commit suicide become the target of an online stalker with a lethal agenda.,Movie,68878,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRUySXJpsW_XYqyeFGYS2IxW_ePSYSEP7SQn4AFxwp98waBeoGnVUhihWHxD2trMRROunzDF7UPWhzu1E6drCpNMLw.jpg?r=f65
Mobile Suit Gundam 00,"Animation, Action, Adventure, Drama, Romance, Sci-Fi","Japanese TV Films,Anime Series,Cyborg & Robot Anime,Anime Sci-Fi & Fantasy,Anime,Anime Action Films",English,Japan,< 30 minutes,,,"Ryûzô Ishino, Toshihiko Seki, Akio Ôtsuka, Hikaru Midorikawa",TV-PG,8.1,,,,06-Mar-00,14-12-2016,,https://www.netflix.com/watch/80146384,"In the energy-scarce future, the paramilitary group Celestial Being wages a war to end war using Gundams, technologically advanced piloted robots.",Series,4130,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbNr3u5_6P6r0exAdr9Bd-vu26XFjrU0rdhgG44GhzjgVZ6Sx3UgtOIgz6TswK78x3Uo05PJjtCbIyhdabVRSARMlw.jpg?r=6f4
Tokyo Trial,"Drama, History","TV Dramas,TV Programmes,TV Programmes","Japanese, English","Switzerland,Netherlands,Sweden,Belgium,Spain,France,Germany,India,Iceland,Portugal,Russia,Lithuania,Slovakia,Czech Republic,Hungary,South Africa,Greece,Romania,Poland,Singapore,Israel,United Kingdom,United States,Canada,Mexico,Argentina,Brazil,Australia,South Korea,Hong Kong,Japan,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,,,"Tim Ahern, Marcel Hensema, Paul Freeman, Serge Hazanavicius",,7.4,1,1,,,13-12-2016,,https://www.netflix.com/watch/80091880,"In the wake of World War II, 11 Allied judges are tasked with weighing the fates of Japanese war criminals in a tense international trial.",Series,1100,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfcpR6CWhPg0KJZTiwfXmzKY36mLTTm7ZwGflaTzLRH5K3aHzkmH36JPmzY3bXZTnRAni4HDYWDhe713QBNzBmUeOg.jpg?r=a11
